,_c0,id,price,sales,prev_price,prev_sales,PriceElasticty,SalesRevenue
49,49,50,49.62,49900,48.23,49902.0,0.0014107068686647038,2476038.0
50,50,51,50.53,49898,49.62,49900.0,0.002205554120422145,2521345.94
51,51,52,51.89,49896,50.53,49898.0,0.0015092855989220155,2589103.44
52,52,53,54.87,49892,51.89,49896.0,0.0014360645911614515,2737574.04
53,53,54,55.4,49890,54.87,49892.0,0.004170223161964773,2763906.0
54,54,55,56.06,49888,55.4,49890.0,0.00338509065883836,2796721.2800000003
55,55,56,56.86,49887,56.06,49888.0,0.0014146830368328789,2836574.82
56,56,57,58.78,49884,56.86,49887.0,0.001811022240931732,2932181.52
57,57,58,59.53,49882,58.78,49884.0,0.0031623331930049647,2969475.46
58,58,59,59.7,49881,59.53,49882.0,0.007030190964350145,2977895.7
59,59,60,60.79,49879,59.7,49881.0,0.0022161444347167224,3032144.41
60,60,61,62.73,49876,60.79,49879.0,0.0019147943389138463,3128721.48
61,61,62,63.01,49874,62.73,49876.0,0.009003938417472214,3142560.7399999998
62,62,63,63.69,49873,63.01,49874.0,0.001867961236044841,3176411.37
63,63,64,64.9,49871,63.69,49873.0,0.002130909674220536,3236627.9000000004
64,64,65,66.74,49868,64.9,49871.0,0.0021519208612740246,3328190.32
65,65,66,66.93,49867,66.74,49868.0,0.00705395614166972,3337598.3100000005
66,66,67,70.58,49862,66.93,49867.0,0.001888817325087979,3519259.96
67,67,68,71.32,49860,70.58,49862.0,0.0038458265328966137,3556015.1999999997
68,68,69,72.47,49858,71.32,49860.0,0.002507767556683749,3613209.26
69,69,70,73.02,49856,72.47,49858.0,0.005305719813211266,3640485.1199999996
70,70,71,73.22,49855,73.02,49856.0,0.007333192927560547,3650383.1
71,71,72,74.16,49853,73.22,49855.0,0.003144927870232149,3697098.48
72,72,73,74.44,49852,74.16,49853.0,0.0053228452506322,3710982.88
73,73,74,76.41,49849,74.44,49852.0,0.0023040973729726005,3808962.09
74,74,75,79.69,49845,76.41,49849.0,0.001909501611516606,3972148.05
75,75,76,82.35,49841,79.69,49845.0,0.0024443670418346723,4104406.3499999996
76,76,77,83.95,49839,82.35,49841.0,0.0020854233547351413,4183984.0500000003
77,77,78,84.23,49837,83.95,49839.0,0.012051905316081198,4197770.51
78,78,79,84.57,49836,84.23,49837.0,0.004980993731856269,4214630.52
79,79,80,86.65,49833,84.57,49836.0,0.002477720485576474,4318029.45
80,80,81,86.89,49832,86.65,49833.0,0.007255138045786875,4329902.48
81,81,82,87.17,49830,86.89,49832.0,0.012475022719649509,4343681.1
82,82,83,88.67,49828,87.17,49830.0,0.0023525791540401505,4418248.76
83,83,84,91.46,49824,88.67,49828.0,0.0025915274761906274,4556903.04
84,84,85,92.85,49822,91.46,49824.0,0.0026613636734471673,4625972.699999999
85,85,86,93.65,49820,92.85,49822.0,0.004679251721161693,4665643.0
86,86,87,98.11,49814,93.65,49820.0,0.0025892074409378718,4887251.54
87,87,88,98.14,49813,98.11,49814.0,0.06566158437638811,4888647.82
88,88,89,98.6,49812,98.14,49813.0,0.004293055479788395,4911463.199999999
89,89,90,98.9,49811,98.6,49812.0,0.006608246422345324,4926307.9
90,90,91,99.5,49809,98.9,49811.0,0.0066385598608044525,4955995.5
91,91,92,101.29,49806,99.5,49809.0,0.0033782016069128598,5044849.74
92,92,93,101.82,49805,101.29,49806.0,0.003847229875157855,5071145.1
93,93,94,102.69,49803,101.82,49805.0,0.004719881244824515,5114270.07
94,94,95,104.62,49800,102.69,49803.0,0.003235279291949651,5210076.0
95,95,96,104.99,49799,104.62,49800.0,0.0056879437897321096,5228397.01
96,96,97,105.76,49797,104.99,49799.0,0.005496230746240714,5266530.720000001
97,97,98,106.75,49795,105.76,49797.0,0.004310719046842453,5315616.25
98,98,99,106.77,49794,106.75,49795.0,0.10720059444318271,5316505.38
99,99,100,108.23,49791,106.77,49794.0,0.004436218526061212,5388879.930000001
100,100,101,108.83,49790,108.23,49791.0,0.003632888469353291,5418645.7
101,101,102,110.16,49787,108.83,49790.0,0.004960607429577496,5484535.92
102,102,103,111.21,49785,110.16,49787.0,0.004234695927139597,5536589.85
103,103,104,112.12,49783,111.21,49785.0,0.0049296477265302,5581669.96
104,104,105,113.62,49781,112.12,49783.0,0.003023047152250479,5656117.220000001
105,105,106,115.48,49778,113.62,49781.0,0.003711529133802652,5748363.44
106,106,107,117.96,49775,115.48,49778.0,0.002836550347796598,5871459.0
107,107,108,118.49,49773,117.96,49775.0,0.008963154969897882,5897602.77
108,108,109,118.71,49772,118.49,49773.0,0.010831099685386748,5908434.12
109,109,110,120.62,49769,118.71,49772.0,0.003776443824799789,6003136.78
110,110,111,122.05,49766,120.62,49769.0,0.005114762667382375,6073940.3
111,111,112,123.29,49764,122.05,49766.0,0.003975782954077684,6135403.5600000005
112,112,113,124.43,49762,123.29,49764.0,0.004366662894400157,6191885.66
113,113,114,127.69,49758,124.43,49762.0,0.003108417335726835,6353599.02
114,114,115,129.48,49755,127.69,49758.0,0.004331204698726392,6442277.399999999
115,115,116,132.24,49751,129.48,49755.0,0.0038118741364951297,6579072.24
116,116,117,132.47,49750,132.24,49751.0,0.011566849011349757,6590382.5
117,117,118,132.84,49749,132.47,49750.0,0.0072066458361797125,6608657.16
118,118,119,133.95,49747,132.84,49749.0,0.004831377167953576,6663610.649999999
119,119,120,134.24,49745,133.95,49747.0,0.018590300797013036,6677768.800000001
120,120,121,135.25,49743,134.24,49745.0,0.0053638988054483,6727740.75
121,121,122,135.98,49742,135.25,49743.0,0.0037347132251644437,6763917.159999999
122,122,123,138.39,49738,135.98,49742.0,0.0045776627675531084,6883241.819999999
123,123,124,139.25,49736,138.39,49738.0,0.0064908862477093595,6925738.0
124,124,125,139.62,49735,139.25,49736.0,0.007577109938602141,6944000.7
125,125,126,140.4,49733,139.62,49735.0,0.00721840189809787,6982513.2
126,126,127,140.92,49732,140.4,49733.0,0.005439099180616488,7008233.4399999995
127,127,128,141.01,49730,140.92,49732.0,0.06298999729656424,7012427.3
128,128,129,141.73,49729,141.01,49730.0,0.00394830477326783,7048091.17
129,129,130,141.94,49728,141.73,49729.0,0.013581844654569034,7058392.32
130,130,131,145.63,49723,141.94,49728.0,0.00391812296118155,7241160.49
131,131,132,146.71,49721,145.63,49723.0,0.005443972189074898,7294567.91
132,132,133,149.08,49717,146.71,49721.0,0.005020451222791913,7411810.36
133,133,134,149.67,49716,149.08,49717.0,0.005092433419522807,7440993.72
134,134,135,149.78,49715,149.67,49716.0,0.027378511000315693,7446312.7
135,135,136,151.09,49712,149.78,49715.0,0.006929860773990681,7510986.08
136,136,137,151.18,49711,151.09,49712.0,0.03378046886088156,7515308.98
137,137,138,153.57,49708,151.18,49711.0,0.003847668763044693,7633657.56
138,138,139,154.03,49706,153.57,49708.0,0.013452746135834016,7656215.18
139,139,140,154.29,49705,154.03,49706.0,0.011928721709329905,7668984.449999999
140,140,141,154.41,49704,154.29,49705.0,0.025877938617226835,7674794.64
141,141,142,155.1,49702,154.41,49704.0,0.009024912327048785,7708780.199999999
142,142,143,158.75,49698,155.1,49702.0,0.0034602133348033354,7889557.5
143,143,144,159.05,49696,158.75,49698.0,0.021315840661071957,7904148.800000001
144,144,145,159.51,49695,159.05,49696.0,0.006967650382131839,7926849.449999999
145,145,146,160.24,49693,159.51,49695.0,0.008814216980523325,7962806.32
146,146,147,160.68,49692,160.24,49693.0,0.007338769797893447,7984510.5600000005
147,147,148,160.99,49691,160.68,49692.0,0.01044087179185892,7999754.090000001
148,148,149,161.26,49689,160.99,49691.0,0.02401928996817466,8012848.14
149,149,150,161.66,49688,161.26,49689.0,0.00812361009086598,8032562.08
150,150,151,162.74,49686,161.66,49688.0,0.006045250676643123,8085899.640000001
151,151,152,162.78,49685,162.74,49686.0,0.08189512030674562,8087724.3
152,152,153,162.79,49684,162.78,49685.0,0.3276373919434593,8088058.359999999
153,153,154,163.28,49682,162.79,49684.0,0.013393896898170892,8112076.96
154,154,155,163.68,49681,163.28,49682.0,0.008226402181898579,8131786.08
155,155,156,163.8,49680,163.68,49681.0,0.027465504574228285,8137584.000000001
156,156,157,166.51,49676,163.8,49680.0,0.004907025599101796,8271550.76
157,157,158,166.84,49675,166.51,49676.0,0.010167502241059244,8287777.0
158,158,159,167.24,49673,166.84,49675.0,0.016813624833916904,8307312.5200000005
159,159,160,167.7,49672,167.24,49673.0,0.0073293113370843125,8329994.399999999
160,160,161,168.87,49670,167.7,49672.0,0.005791441015213359,8387772.9
161,161,162,170.34,49667,168.87,49670.0,0.006968856580352231,8460276.78
162,162,163,170.91,49666,170.34,49667.0,0.006027042478595461,8488416.06
163,163,164,171.24,49664,170.91,49666.0,0.020876234406889006,8504463.360000001
164,164,165,172.02,49662,171.24,49664.0,0.00886126337669739,8542857.24
165,165,166,172.04,49661,172.02,49662.0,0.17320258147675408,8543678.44
166,166,167,172.52,49660,172.04,49661.0,0.0072274074297812765,8567343.200000001
167,167,168,175.2,49656,172.52,49660.0,0.005225593807914836,8699731.2
168,168,169,176.6,49654,175.2,49656.0,0.005060632651006207,8768896.4
169,169,170,178.71,49651,176.6,49654.0,0.005087156686840809,8873130.21
170,170,171,179.26,49649,178.71,49651.0,0.013108852879246036,8900079.74
171,171,172,180.33,49647,179.26,49649.0,0.006768961903012023,8952843.51
172,172,173,180.76,49646,180.33,49647.0,0.008457234508440211,8974010.959999999
173,173,174,181.86,49644,180.76,49646.0,0.006640236588871763,9028257.84
174,174,175,183.64,49641,181.86,49644.0,0.006204474351161461,9116073.24
175,175,176,184.11,49639,183.64,49641.0,0.01576242563478229,9139036.290000001
176,176,177,184.55,49638,184.11,49639.0,0.008439655069790997,9160692.9
177,177,178,185.37,49636,184.55,49638.0,0.009088420960564015,9201025.32
178,178,179,188.6,49632,185.37,49636.0,0.004665357849801116,9360595.2
179,179,180,191.35,49628,188.6,49632.0,0.0055677467807228025,9496317.799999999
180,180,181,191.61,49627,191.35,49628.0,0.014839787183748603,9509029.47
181,181,182,192.01,49625,191.61,49627.0,0.0193255551525421,9528496.25
182,182,183,192.6,49624,192.01,49625.0,0.006568140292921839,9557582.4
183,183,184,195.78,49620,192.6,49624.0,0.004922497096920635,9714603.6
184,184,185,196.04,49618,195.78,49620.0,0.030371430298878507,9727112.719999999
185,185,186,196.67,49617,196.04,49618.0,0.006281545889547144,9758175.389999999
186,186,187,199.3,49613,196.67,49617.0,0.006069089402850563,9887870.9
187,187,188,200.34,49611,199.3,49613.0,0.007745489614795487,9939067.74
188,188,189,201.61,49609,200.34,49611.0,0.006379682785569915,10001670.49
189,189,190,202.01,49607,201.61,49609.0,0.020340469279149682,10021110.07
190,190,191,203.01,49605,202.01,49607.0,0.008164738136515744,10070311.049999999
191,191,192,205.69,49602,203.01,49605.0,0.0046115697481024405,10202635.379999999
192,192,193,206.58,49600,205.69,49602.0,0.00933901975970476,10246368.0
193,193,194,207.1,49598,206.58,49600.0,0.01603940526096271,10271745.799999999
194,194,195,207.33,49597,207.1,49598.0,0.018164923284613627,10282946.01
195,195,196,210.01,49593,207.33,49597.0,0.006279821780301086,10415025.93
196,196,197,211.17,49591,210.01,49593.0,0.0073214673111903685,10472131.469999999
197,197,198,217.68,49584,211.17,49591.0,0.004649649934540591,10793445.120000001
198,198,199,219.14,49581,217.68,49584.0,0.009051332047252215,10865180.34
199,199,200,223.47,49576,219.14,49581.0,0.005154421752276993,11078748.72
200,200,201,224.1,49574,223.47,49576.0,0.01433037965564451,11109533.4
201,201,202,225.51,49572,224.1,49574.0,0.00643237932797153,11178981.719999999
202,202,203,225.82,49571,225.51,49572.0,0.014684881694183562,11194123.219999999
203,203,204,226.22,49569,225.82,49571.0,0.022798063344764655,11213499.18
204,204,205,228.93,49566,226.22,49569.0,0.005082524724475555,11347144.38
205,205,206,229.86,49564,228.93,49566.0,0.009953043087766724,11392781.040000001
206,206,207,230.26,49562,229.86,49564.0,0.023208845307993168,11412146.12
207,207,208,230.56,49561,230.26,49562.0,0.015496571599594527,11426784.16
208,208,209,230.81,49560,230.56,49561.0,0.018618456230264018,11438943.6
209,209,210,232.42,49557,230.81,49560.0,0.008708511059487653,11518037.94
210,210,211,233.83,49555,232.42,49557.0,0.0066727290109218325,11587445.65
211,211,212,234.77,49553,233.83,49555.0,0.010059947497636387,11633557.81
212,212,213,235.78,49551,234.77,49553.0,0.009402064278110168,11683134.78
213,213,214,235.95,49550,235.78,49551.0,0.028000548460069836,11691322.5
214,214,215,237.81,49547,235.95,49550.0,0.007710919929544376,11782772.07
215,215,216,241.57,49542,237.81,49547.0,0.006433341786225723,11967860.94
216,216,217,241.85,49541,241.57,49542.0,0.017424785281026946,11981490.85
217,217,218,244.52,49537,241.85,49541.0,0.007354248115187529,12112787.24
218,218,219,244.81,49536,244.52,49537.0,0.01703132869284521,12126908.16
219,219,220,245.52,49534,244.81,49536.0,0.013941771147730073,12161587.68
220,220,221,246.98,49532,245.52,49534.0,0.006810182446516311,12233413.36
221,221,222,247.33,49530,246.98,49532.0,0.028513744638997675,12250254.9
222,222,223,247.37,49529,247.33,49530.0,0.12484983696587347,12251988.73
223,223,224,249.03,49526,247.37,49529.0,0.009056669867598219,12333459.78
224,224,225,249.11,49525,249.03,49526.0,0.06286408012033222,12337172.75
225,225,226,249.23,49524,249.11,49525.0,0.04192705967081101,12342866.52
226,226,227,249.6,49523,249.23,49524.0,0.013611610540341178,12360940.799999999
227,227,228,249.85,49522,249.6,49523.0,0.020170629511838054,12373071.7
228,228,229,249.92,49521,249.85,49522.0,0.07208557322145052,12376288.32
229,229,230,254.06,49515,249.92,49521.0,0.007375154460008954,12579780.9
230,230,231,254.27,49514,254.06,49515.0,0.02444353722262121,12589924.780000001
231,231,232,255.32,49512,254.27,49514.0,0.009801947155773583,12641403.84
232,232,233,256.21,49510,255.32,49512.0,0.01160858817209858,12684957.1
233,233,234,256.39,49509,256.21,49510.0,0.028759912519593908,12693612.51
234,234,235,257.06,49507,256.39,49509.0,0.015479180810819896,12726269.42
235,235,236,258.0,49506,257.06,49507.0,0.005533982105509047,12772548.0
236,236,237,260.29,49502,258.0,49506.0,0.009143807002142392,12884875.580000002
237,237,238,260.94,49501,260.29,49502.0,0.008099676855169397,12916790.94
238,238,239,261.36,49499,260.94,49501.0,0.02512265512265417,12937058.64
239,239,240,261.88,49498,261.36,49499.0,0.010164255171679995,12962536.24
240,240,241,263.53,49495,261.88,49498.0,0.00965008545140487,13043417.349999998
241,241,242,264.12,49493,263.53,49495.0,0.01806930201435036,13072091.16
242,242,243,264.22,49492,264.12,49493.0,0.053375764004635035,13076776.240000002
243,243,244,266.72,49489,264.22,49492.0,0.006436871722855902,13199706.080000002
244,244,245,269.11,49485,266.72,49489.0,0.009060830226914809,13316908.350000001
245,245,246,269.22,49484,269.11,49485.0,0.04944890916255074,13322082.48
246,246,247,270.7,49482,269.22,49484.0,0.007372447321520934,13394777.399999999
247,247,248,271.76,49480,270.7,49482.0,0.01034244895982561,13446684.799999999
248,248,249,272.4,49478,271.76,49480.0,0.01718405788314271,13477807.2
249,249,250,274.22,49475,272.4,49478.0,0.009105554940446,13567034.500000002
250,250,251,274.37,49474,274.22,49475.0,0.03696112812324755,13574181.38
251,251,252,276.44,49471,274.37,49474.0,0.008067869647974563,13675763.24
252,252,253,277.07,49469,276.44,49471.0,0.0177600020535134,13706375.83
253,253,254,277.64,49468,277.07,49469.0,0.00983631440812338,13734295.52
254,254,255,278.43,49466,277.64,49468.0,0.014229406997581191,13772818.38
255,255,256,279.5,49464,278.43,49466.0,0.010541391014698464,13825188.0
256,256,257,279.67,49463,279.5,49464.0,0.03324911595537456,13833317.21
257,257,258,283.24,49458,279.67,49463.0,0.007969888656021456,14008483.92
258,258,259,283.53,49457,283.24,49458.0,0.019758169239701487,14022543.209999999
259,259,260,284.63,49455,283.53,49457.0,0.01044381047616225,14076376.65
260,260,261,286.38,49452,284.63,49455.0,0.009896916150669677,14162063.76
261,261,262,286.54,49451,286.38,49452.0,0.036204665176985944,14169689.540000001
262,262,263,287.15,49449,286.54,49451.0,0.019018714051286804,14199280.35
263,263,264,287.82,49448,287.15,49449.0,0.008677352994574733,14232123.36
264,264,265,288.27,49446,287.82,49448.0,0.025890347240480355,14253798.42
265,265,266,288.34,49445,288.27,49446.0,0.0832966166211942,14256971.299999999
266,266,267,288.59,49444,288.34,49445.0,0.023336468161271728,14269043.959999999
267,267,268,288.75,49443,288.59,49444.0,0.036489882391006256,14276666.25
268,268,269,290.37,49440,288.75,49443.0,0.010845589681183232,14355892.8
269,269,270,293.68,49436,290.37,49440.0,0.007138239858303397,14518364.48
270,270,271,294.86,49434,293.68,49436.0,0.010089262908150173,14576109.24
271,271,272,295.81,49432,294.86,49434.0,0.01257779003371937,14622479.92
272,272,273,296.29,49430,295.81,49432.0,0.024954819175550157,14645614.700000001
273,273,274,296.5,49429,296.29,49430.0,0.028553895182126043,14655698.5
274,274,275,297.74,49427,296.5,49429.0,0.009695431869620647,14716394.98
275,275,276,299.53,49424,297.74,49427.0,0.010126464812539862,14803970.719999999
276,276,277,299.59,49423,299.53,49424.0,0.1010180717000309,14806636.569999998
277,277,278,300.26,49421,299.59,49423.0,0.018115383988156392,14839149.459999999
278,278,279,300.58,49420,300.26,49421.0,0.01899641849030301,14854663.6
279,279,280,301.53,49418,300.58,49420.0,0.012825026811550365,14901009.54
280,280,281,302.71,49416,301.53,49418.0,0.01036217893862773,14958717.36
281,281,282,302.94,49415,302.71,49416.0,0.02664407796708532,14969780.1
282,282,283,303.2,49413,302.94,49415.0,0.04717909281393479,14982021.6
283,283,284,303.36,49412,303.2,49413.0,0.03836073867947793,14989624.32
284,284,285,303.47,49411,303.36,49412.0,0.05582340511455511,14994756.170000002
285,285,286,303.89,49410,303.47,49411.0,0.01463348112339866,15015204.899999999
286,286,287,307.37,49405,303.89,49410.0,0.008887791594765744,15185614.85
287,287,288,309.8,49402,307.37,49405.0,0.007711379473164211,15304739.600000001
288,288,289,310.42,49400,309.8,49402.0,0.020249688036875164,15334748.0
289,289,290,310.62,49399,310.42,49400.0,0.03142946790959601,15344317.38
290,290,291,310.71,49398,310.62,49399.0,0.0698772904710526,15348452.579999998
291,291,292,311.27,49396,310.71,49398.0,0.02248473736114677,15375492.92
292,292,293,312.9,49394,311.27,49396.0,0.00775233081016498,15455382.6
293,293,294,313.15,49392,312.9,49394.0,0.05069949183082622,15467104.799999999
294,294,295,313.17,49391,313.15,49392.0,0.3170181104029992,15467779.47
295,295,296,314.32,49389,313.17,49391.0,0.01104765090627415,15523950.48
296,296,297,314.62,49388,314.32,49389.0,0.02122423911099332,15538452.56
297,297,298,317.61,49384,314.62,49388.0,0.008563081056781939,15684852.24
298,298,299,317.95,49383,317.61,49384.0,0.018926302486125895,15701324.85
299,299,300,318.43,49381,317.95,49383.0,0.026847670541221832,15724391.83
300,300,301,319.21,49379,318.43,49381.0,0.01655502591104107,15762270.59
301,301,302,319.4,49378,319.21,49379.0,0.03403409645045854,15771333.2
302,302,303,322.92,49374,319.4,49378.0,0.007391334766982774,15943852.08
303,303,304,324.59,49371,322.92,49374.0,0.011779752055967345,16025332.889999999
304,304,305,325.68,49369,324.59,49371.0,0.012083815710985593,16078495.92
305,305,306,327.04,49366,325.68,49369.0,0.014582706531744068,16144656.64
306,306,307,329.68,49363,327.04,49366.0,0.007558799615844697,16273993.84
307,307,308,333.13,49358,329.68,49363.0,0.009730393765242996,16442630.54
308,308,309,335.06,49355,333.13,49358.0,0.010521788474663703,16536886.3
309,309,310,335.21,49354,335.06,49355.0,0.04526909062666367,16543954.34
310,310,311,335.67,49353,335.21,49354.0,0.014775393666189634,16566321.510000002
311,311,312,336.63,49351,335.67,49353.0,0.014190154401037748,16613027.129999999
312,312,313,338.15,49348,336.63,49351.0,0.013493577762479489,16687026.2
313,313,314,338.47,49347,338.15,49348.0,0.02142395764729388,16702479.090000002
314,314,315,338.7,49346,338.47,49347.0,0.029832079188036063,16713490.2
315,315,316,341.48,49342,338.7,49346.0,0.009916871949910784,16849306.16
316,316,317,341.54,49341,341.48,49342.0,0.11535590392130596,16851925.14
317,317,318,342.16,49339,341.54,49341.0,0.022349856819697263,16881832.240000002
318,318,319,343.66,49337,342.16,49339.0,0.009266961233396842,16955153.42
319,319,320,347.69,49332,343.66,49337.0,0.008693250589666133,17152243.08
320,320,321,349.94,49329,347.69,49332.0,0.009427973903906643,17262190.26
321,321,322,352.95,49325,349.94,49329.0,0.009468172498844442,17409258.75
322,322,323,355.19,49321,352.95,49325.0,0.012818925392673895,17518325.99
323,323,324,358.03,49317,355.19,49321.0,0.01018405899620445,17656965.509999998
324,324,325,358.14,49316,358.03,49317.0,0.06600870260091,17662032.24
325,325,326,359.02,49314,358.14,49316.0,0.016525490123786873,17704712.279999997
326,326,327,363.36,49309,359.02,49314.0,0.008438549050844818,17916918.240000002
327,327,328,364.53,49307,363.36,49309.0,0.012617185956198323,17973880.709999997
328,328,329,365.24,49305,364.53,49307.0,0.020846247321268864,18008158.2
329,329,330,366.98,49303,365.24,49305.0,0.008535130860660815,18093214.94
330,330,331,368.28,49300,366.98,49303.0,0.017207933289594694,18156204.0
331,331,332,368.3,49299,368.28,49300.0,0.3735230580424631,18156821.7
332,332,333,368.31,49298,368.3,49299.0,0.7470916965026014,18156946.38
333,333,334,369.5,49296,368.31,49298.0,0.012577000697027114,18214872.0
334,334,335,372.5,49292,369.5,49296.0,0.010035027927672063,18361270.0
335,335,336,373.43,49290,372.5,49292.0,0.016272245822101367,18406364.7
336,336,337,373.77,49289,373.43,49290.0,0.022293257781309316,18422749.529999997
337,337,338,374.97,49287,373.77,49289.0,0.012659267975977447,18481146.39
338,338,339,375.29,49285,374.97,49287.0,0.047570557561986165,18496167.650000002
339,339,340,376.26,49283,375.29,49285.0,0.015721001023314123,18543221.58
340,340,341,376.58,49282,376.26,49283.0,0.023868766803632625,18558615.56
341,341,342,377.64,49280,376.58,49282.0,0.014438187169229335,18610099.2
342,342,343,378.34,49278,377.64,49280.0,0.021915449351071373,18643838.52
343,343,344,379.81,49276,378.34,49278.0,0.010466308811813185,18715517.56
344,344,345,381.36,49273,379.81,49276.0,0.01494923599493151,18790751.28
345,345,346,381.45,49272,381.36,49273.0,0.08600808429315562,18794804.4
346,346,347,381.76,49271,381.45,49272.0,0.024983689779441112,18809696.96
347,347,348,381.93,49270,381.76,49271.0,0.04558807113431605,18817691.1
348,348,349,382.64,49268,381.93,49270.0,0.02185672846880611,18851907.52
349,349,350,383.31,49266,382.64,49268.0,0.023204354948014972,18884150.46
350,350,351,383.39,49265,383.31,49266.0,0.09726634257240775,18887708.349999998
351,351,352,383.64,49264,383.39,49265.0,0.03113925849242355,18899640.96
352,352,353,385.74,49261,383.64,49264.0,0.011155689273933254,19001938.14
353,353,354,386.77,49259,385.74,49261.0,0.015225532049084122,19051903.43
354,354,355,387.38,49257,386.77,49259.0,0.025764309567089798,19081176.66
355,355,356,388.22,49255,387.38,49257.0,0.01874560121271111,19121776.1
356,356,357,389.45,49253,388.22,49255.0,0.012836562157801297,19181580.849999998
357,357,358,390.65,49251,389.45,49253.0,0.013199125585424742,19239903.15
358,358,359,390.75,49250,390.65,49251.0,0.07932914386654169,19244437.5
359,359,360,391.35,49248,390.75,49250.0,0.026467542488171347,19273204.8
360,360,361,392.04,49246,391.35,49248.0,0.02305415205163686,19306401.84
361,361,362,393.3,49244,392.04,49246.0,0.01265683245579691,19367665.2
362,362,363,393.81,49243,393.3,49244.0,0.015670625982886047,19392385.830000002
363,363,364,395.24,49240,393.81,49243.0,0.016808481162735114,19461617.6
364,364,365,395.79,49239,395.24,49240.0,0.014604498051730154,19488303.810000002
365,365,366,399.37,49234,395.79,49239.0,0.011277798576441076,19662582.580000002
366,366,367,399.89,49233,399.37,49234.0,0.015609681025506163,19687784.37
367,367,368,400.88,49231,399.89,49233.0,0.0164295292870202,19735723.28
368,368,369,401.48,49229,400.88,49231.0,0.02716365359875312,19764458.92
